,categoryScalingFactor,productScalingFactor,value
0,60.0,60.0,0.784319549172
1,63.0,60.0,0.7891202363
2,60.0,63.0,0.787896316942
3,63.0,63.0,0.794029777954
4,64.5,64.5,0.783926081073
5,66.0,60.0,0.77970310792
6,61.5,62.25,0.790609966005
7,61.5,65.25,0.787628169358
8,62.625,61.3125,0.789427354703
9,61.875,63.9375,0.791720031993
10,63.375,64.6875,0.783449250587
11,61.96875,62.859375,0.793699229073
12,63.09375,61.921875,0.798659089093
13,63.703125,60.9140625,0.786861747715
14,64.125,62.0625,0.795054914752
15,64.21875,60.984375,0.794390724152
16,63.3046875,62.49609375,0.792914815068
17,62.578125,61.8515625,0.790570759492
18,63.140625,61.3828125,0.78586152638
19,62.53125,62.390625,0.796345494773
20,63.046875,62.4609375,0.792624999659
21,62.6953125,62.00390625,0.791407763872
22,62.9296875,62.30859375,0.783857389404
23,62.75390625,62.080078125,0.795520952155
24,62.87109375,62.232421875,0.78896256401
25,62.783203125,62.1181640625,0.796053916488
26,62.841796875,62.1943359375,0.784665711553
27,62.7978515625,62.1372070312,0.793449727848
28,63.375,61.6875,0.785222989658
29,63.2490234375,61.8237304688,0.782842293932
30,63.2197265625,61.7856445312,0.782814944559
31,63.2416992188,61.8142089844,0.78562019204
32,62.9604492188,62.0485839844,0.797101446905
33,62.8125,62.15625,0.795182868069
34,63.1343994141,61.8997192383,0.796910262073
35,62.9197998047,62.0707397461,0.789646661791
36,63.0807495117,61.9424743652,0.790820597555
37,63.1604003906,61.8585205078,0.793617422961
38,63.073425293,61.9329528809,0.795905860987
39,63.0067749023,61.996307373,0.785054907714
40,63.1219940186,61.8929672241,0.794534324973
41,63.0451812744,61.9618606567,0.793504972047
42,63.1027908325,61.9101905823,0.798608859388
43,63.1231155396,61.8991088867,0.799896380102
44,63.1479606628,61.8821868896,0.793015017173
45,63.114074707,61.9107933044,0.796037133803
46,63.1056137085,61.9103393555,0.797338200981
47,63.1377983093,61.8877258301,0.793562081931
48,63.1332778931,61.8935699463,0.797228038552
49,63.1185951233,61.9049530029,0.796023186168
50,63.1329956055,61.8920326233,0.798197446546
51,63.122833252,61.897567749,0.799556571344
52,63.112953186,61.9046440125,0.794263330943
53,63.1279830933,61.8951873779,0.794534324973
54,63.1232566833,61.8998794556,0.799896380102
55,63.1181755066,61.9026489258,0.796023186168
56,63.1281929016,61.8963394165,0.794534324973
57,63.1206817627,61.9010696411,0.797861839242
58,63.1256866455,61.8979187012,0.794534324973
59,63.1219329834,61.9002838135,0.79790215232
60,63.1244354248,61.8987045288,0.799841039072
61,63.1225585938,61.899887085,0.79651946115
62,63.123046875,61.8987236023,0.798513688932
63,63.1237068176,61.8985214233,0.799556571344
64,63.1237792969,61.8989067078,0.799556571344
65,63.1232299805,61.8987693787,0.799841039072
66,63.1226387024,61.8993606567,0.799896380102
67,63.1234397888,61.8987312317,0.799841039072
