,categoryScalingFactor,productScalingFactor,value
0,0.6,0.6,0.629354410832
1,8.025,0.6,0.722450511274
2,15.45,0.6,0.747904170573
3,22.875,0.6,0.761044678409
4,30.3,0.6,0.766828265855
5,37.725,0.6,0.773650184203
6,45.15,0.6,0.780242657794
7,52.575,0.6,0.780981086748
8,60.0,0.6,0.790084335649
9,67.425,0.6,0.789274570173
10,74.85,0.6,0.789846720242
11,82.275,0.6,0.79222529029
12,89.7,0.6,0.794084983477
13,97.125,0.6,0.773101663146
14,104.55,0.6,0.776916204411
15,111.975,0.6,0.780370288429
16,119.4,0.6,0.77273536422
17,0.6,8.025,0.713382206653
18,8.025,8.025,0.749088482616
19,15.45,8.025,0.764320105203
20,22.875,8.025,0.776543775171
21,30.3,8.025,0.774150963213
22,37.725,8.025,0.781652683664
23,45.15,8.025,0.783045859061
24,52.575,8.025,0.790198460239
25,60.0,8.025,0.795278026193
26,67.425,8.025,0.795664347725
27,74.85,8.025,0.794550179846
28,82.275,8.025,0.793216983735
29,89.7,8.025,0.789084480577
30,97.125,8.025,0.77654138658
31,104.55,8.025,0.777244768179
32,111.975,8.025,0.776439076623
33,119.4,8.025,0.769006126227
34,0.6,15.45,0.730116355681
35,8.025,15.45,0.764084355091
36,15.45,15.45,0.776862006339
37,22.875,15.45,0.786017008345
38,30.3,15.45,0.784501757494
39,37.725,15.45,0.783879947076
40,45.15,15.45,0.790549587479
41,52.575,15.45,0.794881419784
42,60.0,15.45,0.801147703201
43,67.425,15.45,0.801058315257
44,74.85,15.45,0.792620803033
45,82.275,15.45,0.793830879913
46,89.7,15.45,0.792878447412
47,97.125,15.45,0.784707804017
48,104.55,15.45,0.784745324254
49,111.975,15.45,0.775046207744
50,119.4,15.45,0.781638399473
51,0.6,22.875,0.743751891319
52,8.025,22.875,0.772884145412
53,15.45,22.875,0.787976286589
54,22.875,22.875,0.788008278584
55,30.3,22.875,0.791554253439
56,37.725,22.875,0.791255023836
57,45.15,22.875,0.793101388497
58,52.575,22.875,0.799787615295
59,60.0,22.875,0.797709437718
