,categoryScalingFactor,productScalingFactor,value
0,0.6,0.6,0.615697818749
1,8.025,0.6,0.685435109956
2,15.45,0.6,0.718840118907
3,22.875,0.6,0.731171839081
4,30.3,0.6,0.733235224497
5,37.725,0.6,0.739660550502
6,45.15,0.6,0.742552847622
7,52.575,0.6,0.738372006278
8,60.0,0.6,0.739300159552
9,67.425,0.6,0.738384191587
10,74.85,0.6,0.737167621094
11,82.275,0.6,0.729108541598
12,89.7,0.6,0.738555991428
13,97.125,0.6,0.739813915583
14,104.55,0.6,0.73868503073
15,111.975,0.6,0.73282051925
16,119.4,0.6,0.734284566635
17,0.6,8.025,0.6741457728
18,8.025,8.025,0.711543010795
19,15.45,8.025,0.730303212476
20,22.875,8.025,0.738487058397
21,30.3,8.025,0.738234214566
22,37.725,8.025,0.745212868108
23,45.15,8.025,0.745171757356
24,52.575,8.025,0.746839488095
25,60.0,8.025,0.746296860068
26,67.425,8.025,0.735618271265
27,74.85,8.025,0.744111993701
28,82.275,8.025,0.741640004913
29,89.7,8.025,0.73488459134
30,97.125,8.025,0.740714633164
31,104.55,8.025,0.737277725166
32,111.975,8.025,0.723401499126
33,119.4,8.025,0.731250234482
34,0.6,15.45,0.686451197809
35,8.025,15.45,0.709634757672
36,15.45,15.45,0.7228280645
37,22.875,15.45,0.731833811389
38,30.3,15.45,0.743303449205
39,37.725,15.45,0.744682583385
40,45.15,15.45,0.74873535651
41,52.575,15.45,0.750923093469
42,60.0,15.45,0.749813503195
43,67.425,15.45,0.748713279964
44,74.85,15.45,0.742197553104
45,82.275,15.45,0.744536129
46,89.7,15.45,0.745205866828
47,97.125,15.45,0.745762941796
48,104.55,15.45,0.73431202396
49,111.975,15.45,0.747032531133
50,119.4,15.45,0.734756450094
51,0.6,22.875,0.685281623378
52,8.025,22.875,0.708654956545
53,15.45,22.875,0.724678717452
54,22.875,22.875,0.734798907267
55,30.3,22.875,0.740327941982
56,37.725,22.875,0.743039231977
57,45.15,22.875,0.744885787882
58,52.575,22.875,0.747564705772
59,60.0,22.875,0.746874713957
60,67.425,22.875,0.748668845402
61,74.85,22.875,0.743513176116
62,82.275,22.875,0.755870571277
63,89.7,22.875,0.747312936993
64,97.125,22.875,0.748241131355
65,104.55,22.875,0.741337368284
66,111.975,22.875,0.731654976198
67,119.4,22.875,0.732558590472
68,0.6,30.3,0.681362560155
69,8.025,30.3,0.709251871303
70,15.45,30.3,0.722473751704
71,22.875,30.3,0.729370570083
72,30.3,30.3,0.735374623581
73,37.725,30.3,0.745630443086
74,45.15,30.3,0.743870873021
75,52.575,30.3,0.74631346788
76,60.0,30.3,0.743683787434
77,67.425,30.3,0.753689338575
78,74.85,30.3,0.74535661323
79,82.275,30.3,0.74138269424
80,89.7,30.3,0.744828728168
81,97.125,30.3,0.742122649944
82,104.55,30.3,0.735420738478
83,111.975,30.3,0.744662832053
84,119.4,30.3,0.745939596814
85,0.6,37.725,0.665346771013
86,8.025,37.725,0.701536542285
87,15.45,37.725,0.717835406146
88,22.875,37.725,0.72446445984
89,30.3,37.725,0.72750360693
90,37.725,37.725,0.742855276179
91,45.15,37.725,0.733170119211
92,52.575,37.725,0.727159090223
93,60.0,37.725,0.738473684483
94,67.425,37.725,0.742756419138
95,74.85,37.725,0.728871150854
96,82.275,37.725,0.74567150075
97,89.7,37.725,0.740696089496
98,97.125,37.725,0.740461420176
99,104.55,37.725,0.747247931423
100,111.975,37.725,0.734610296398
101,119.4,37.725,0.721337517182
102,0.6,45.15,0.661780880462
103,8.025,45.15,0.709268628752
104,15.45,45.15,0.715979559274
105,22.875,45.15,0.724723388527
