,categoryScalingFactor,productScalingFactor,value
0,60.0,60.0,0.715489014812
1,63.0,60.0,0.724383648917
2,60.0,63.0,0.725133910819
3,63.0,63.0,0.715565203282
4,60.75,60.75,0.71176153727
5,58.5,64.5,0.717504698826
6,60.0,64.5,0.717032255791
7,58.5,63.0,0.717842025005
8,60.0,61.5,0.717843177545
9,61.5,61.5,0.711521267717
10,59.25,62.625,0.729942949159
11,59.25,64.125,0.714024970162
12,59.8125,62.15625,0.722943870044
13,59.4375,63.46875,0.713442286329
14,59.71875,62.484375,0.724597337948
15,59.53125,63.140625,0.710717083316
16,59.671875,62.6484375,0.726748100598
17,58.921875,62.2734375,0.723259992689
18,59.73046875,62.818359375,0.719939817988
19,59.0390625,62.61328125,0.721368142333
20,58.875,62.4375,0.712568913982
21,59.4140625,62.80078125,0.722179852656
22,59.625,62.8125,0.724647166819
23,59.4609375,62.63671875,0.727392214587
24,59.0859375,62.44921875,0.73307708334
25,58.81640625,62.267578125,0.72625913738
26,59.314453125,62.5869140625,0.714142126156
27,59.00390625,62.361328125,0.722082517587
28,58.8984375,62.35546875,0.724054438297
29,58.98046875,62.443359375,0.723672098179
30,58.998046875,62.3818359375,0.719581915994
31,59.1796875,62.49609375,0.708440447353
32,59.126953125,62.4931640625,0.714108977382
33,59.033203125,62.4462890625,0.727402473189
34,58.9921875,62.40234375,0.721946021654
35,59.0932617188,62.4704589844,0.731364500656
36,59.1459960938,62.4733886719,0.711079348095
37,59.0614013672,62.4530639648,0.718291226939
38,59.0822753906,62.4385986328,0.723742998537
39,59.1123046875,62.4506835938,0.715843925234
40,59.0559082031,62.4371337891,0.727774207312
41,59.0595703125,62.4477539062,0.729741641439
42,59.0895996094,62.4598388672,0.730698651493
43,59.1159667969,62.4613037109,0.719034246318
44,59.0736694336,62.4511413574,0.729657726532
45,59.0841064453,62.4439086914,0.719510271463
46,59.0991210938,62.4499511719,0.724860057871
47,59.1009521484,62.4552612305,0.719514451788
48,59.0883178711,62.4467468262,0.728195599307
49,59.0751342773,62.4460144043,0.722385970443
50,59.0931243896,62.44896698,0.723523651897
51,59.0847473145,62.4504547119,0.725983660984
52,59.0793457031,62.4488525391,0.726525143876
53,59.0805358887,62.4476165771,0.728663481532
54,59.0871276855,62.4479827881,0.721007692732
55,59.0812911987,62.4486351013,0.730260718616
56,59.0866928101,62.4502410889,0.73307708334
57,59.0820770264,62.4482727051,0.731160520681
58,59.0867233276,62.4488563538,0.730430623879
59,59.082649231,62.4486923218,0.72825289316
60,59.0878677368,62.4496917725,0.726570734815
61,59.0882606506,62.449508667,0.720840861779
62,59.0855445862,62.4494018555,0.73307708334
63,59.0875816345,62.4494819641,0.728414505992
64,59.0856552124,62.449005127,0.73307708334
65,59.0873146057,62.4495201111,0.730157827428
66,59.0856666565,62.4492607117,0.73307708334
67,59.0871047974,62.4494247437,0.731242963522
68,59.0857276917,62.4491233826,0.73307708334
69,59.0869178772,62.449420929,0.729816803124
70,59.0853538513,62.4491157532,0.734276895929
71,59.0852508545,62.4490661621,0.73307708334
72,59.0860443115,62.4492645264,0.731506226465
73,59.0854492188,62.4491157532,0.73307708334
74,59.0850601196,62.4490661621,0.73190787116
75,59.0854034424,62.4491424561,0.734276895929
76,59.0857009888,62.4491882324,0.73307708334
77,59.0852203369,62.4490966797,0.734276895929
