,categoryScalingFactor,productScalingFactor,value
0,0.6,0.6,0.776630698472
1,8.025,0.6,0.841001835968
2,15.45,0.6,0.85429818981
3,22.875,0.6,0.86051301835
4,30.3,0.6,0.859451507603
5,37.725,0.6,0.856572479335
6,45.15,0.6,0.850702128069
7,52.575,0.6,0.856712352045
8,60.0,0.6,0.856712352045
9,67.425,0.6,0.859929106941
10,74.85,0.6,0.862396163922
11,82.275,0.6,0.858056072551
12,89.7,0.6,0.86087728274
13,97.125,0.6,0.855374362143
14,104.55,0.6,0.860689361743
15,111.975,0.6,0.848823226897
16,119.4,0.6,0.847305385287
17,0.6,8.025,0.837788859961
18,8.025,8.025,0.852892197187
19,15.45,8.025,0.8648248884
20,22.875,8.025,0.864504364895
21,30.3,8.025,0.855986870287
22,37.725,8.025,0.855986870287
23,45.15,8.025,0.862543904036
24,52.575,8.025,0.86547360669
25,60.0,8.025,0.865698905393
26,67.425,8.025,0.868515160312
27,74.85,8.025,0.865693927005
28,82.275,8.025,0.857997785893
29,89.7,8.025,0.864105296075
30,97.125,8.025,0.860930260864
31,104.55,8.025,0.867166733023
32,111.975,8.025,0.849720840536
33,119.4,8.025,0.852948863343
34,0.6,15.45,0.833869885003
35,8.025,15.45,0.859646683321
36,15.45,15.45,0.864820216708
37,22.875,15.45,0.861635226325
38,30.3,15.45,0.867744640585
39,37.725,15.45,0.86730487824
40,45.15,15.45,0.867868395588
41,52.575,15.45,0.865028461421
42,60.0,15.45,0.86781897801
43,67.425,15.45,0.871227860777
44,74.85,15.45,0.868012745311
45,82.275,15.45,0.863716414202
46,89.7,15.45,0.869766463548
47,97.125,15.45,0.861272001625
48,104.55,15.45,0.85545223489
49,111.975,15.45,0.853927114557
50,119.4,15.45,0.853956560589
51,0.6,22.875,0.840038841856
52,8.025,22.875,0.859610303581
53,15.45,22.875,0.869852854074
54,22.875,22.875,0.867119098841
55,30.3,22.875,0.873784172355
56,37.725,22.875,0.870413121814
57,45.15,22.875,0.873398087758
58,52.575,22.875,0.876820894815
59,60.0,22.875,0.876820894815
60,67.425,22.875,0.873860366663
61,74.85,22.875,0.866357580781
62,82.275,22.875,0.866680341125
63,89.7,22.875,0.866954620066
64,97.125,22.875,0.866892081139
65,104.55,22.875,0.860190498138
66,111.975,22.875,0.852592924882
67,119.4,22.875,0.847083272263
68,0.6,30.3,0.852774148492
69,8.025,30.3,0.864977203234
70,15.45,30.3,0.870585200043
71,22.875,30.3,0.87023635877
72,30.3,30.3,0.8670943312
73,37.725,30.3,0.870073664637
74,45.15,30.3,0.873537606319
75,52.575,30.3,0.870787009951
76,60.0,30.3,0.866155152788
77,67.425,30.3,0.866155152788
78,74.85,30.3,0.859973515968
79,82.275,30.3,0.869681274297
80,89.7,30.3,0.866908941184
81,97.125,30.3,0.86102742858
82,104.55,30.3,0.861437289884
83,111.975,30.3,0.858623909556
84,119.4,30.3,0.860450588524
85,0.6,37.725,0.850808482704
86,8.025,37.725,0.86535452194
87,15.45,37.725,0.865406925463
88,22.875,37.725,0.868333371391
89,30.3,37.725,0.873541711352
90,37.725,37.725,0.866311764961
91,45.15,37.725,0.872362312776
92,52.575,37.725,0.859898766438
93,60.0,37.725,0.860750827164
94,67.425,37.725,0.863880537191
95,74.85,37.725,0.860750827164
96,82.275,37.725,0.870100808863
97,89.7,37.725,0.855119275717
98,97.125,37.725,0.866520123413
99,104.55,37.725,0.872019427658
100,111.975,37.725,0.861479018274
101,119.4,37.725,0.853740937648
102,0.6,45.15,0.83829211582
103,8.025,45.15,0.853747727759
104,15.45,45.15,0.863401785797
105,22.875,45.15,0.869667371381
106,30.3,45.15,0.864359095192
107,37.725,45.15,0.863324625218
108,45.15,45.15,0.860750477255
109,52.575,45.15,0.860750827164
110,60.0,45.15,0.863880537191
111,67.425,45.15,0.863880537191
112,74.85,45.15,0.86744430707
113,82.275,45.15,0.858853829693
114,89.7,45.15,0.853116734123
115,97.125,45.15,0.858393289677
116,104.55,45.15,0.854091917768
117,111.975,45.15,0.850301086869
118,119.4,45.15,0.849851937844
119,0.6,52.575,0.845514445056
120,8.025,52.575,0.857160351803
121,15.45,52.575,0.864688457626
122,22.875,52.575,0.873089702759
123,30.3,52.575,0.86369219554
124,37.725,52.575,0.860835560632
125,45.15,52.575,0.860993191533
126,52.575,52.575,0.864318544268
